component,model,role,interface,unit_cost_eur_min,unit_cost_eur_max,qty_per_device,notes
Device under test,LilyGO T-Watch S3 (SX1262 LoRa variant),"Wrist-worn analyzer: ESP32-S3-R8 chip-down (240 MHz, 512 KB SRAM, 8 MB octal PSRAM, 16 MB flash - schematic says W25Q128JW (1.8 V), shipped die reads ef 4018, a 3.3 V JV-class part); Knowles SPM1423HM4H-B PDM mic (CLK GPIO44 / DATA GPIO47); MAX98357A amp; 240x240 ST7789V3 LCD (SPI CS12/MOSI13/SCK18/DC38, BL GPIO45); FT6336U touch (I2C1 SDA39/SCL40, 0x38); AXP2101 PMU (I2C0 SDA10/SCL11, 0x34); BMA423; PCF8563; DRV2605L; SX1262 (held in reset in v1)",Micro-USB (native USB-Serial-JTAG on GPIO19/20 — the only flash/debug path),50,75,1,"Authoritative refs: schematic T_WATCH_S3.pdf V1.4 + 25-03-24 revision, LilyGoLib hardware doc (docs/bibliography/01-datasheets.md). Battery 470 mAh per LilyGoLib vs 400 mAh per resellers — confirm the shipped cell before any autonomy figure (prov.). Mic is OBSOLETE at distributors: verify the 2025 revision did not second-source it (T3902 candidate). Zero exposed GPIO, BOOT button inside the case. Price (prov.): official store / EU resellers, verify."
Level reference (bench),Brüel & Kjær Type 4231 sound calibrator,"Absolute-SPL anchor: 94.0 / 114.0 dB SPL @ 1 kHz, ±0.2 dB, IEC 60942 Class 1","Acoustic coupler → watch mic-port adapter (custom, TBD)",600,2000,1,"Required for every dB SPL claim and for the mic-EQ fit (Phase 1). Range spans used (min) to new (max), (prov.) — verify. A Class 2 calibrator (~100–200 EUR) is the accepted fallback but caps absolute-SPL accuracy at ~±2 dB and must be stated as such in docs/validation/. Needs a port adapter because the watch mic sits behind the case (hardware/acoustic-port/)."
Reference microphone (bench),miniDSP UMIK-1 (budget) / Earthworks M23R (credible),"Simultaneous reference capture on the acoustic path: in-situ response, EIN and 1/3-octave level comparison","USB (UMIK-1, per-serial factory calibration file) / XLR + phantom via audio interface (M23R)",100,800,1,"The reference-mic class is a threshold that changes the plan: reported >2 dB HF disagreement between UMIK- and Earthworks-class mics is the same order as the ±1.5 dB target. With UMIK-1, restate level agreement as repeatability (Bland–Altman / ICC) or add a GUM budget; with M23R (or an IEC 61094-4 WS2F mic) an absolute target is defensible. Prices (prov.), verify; min = UMIK-1, max = M23R; buy one."
Energy measurement (bench),Nordic PPK2 / Qoitech Otii Arc Pro,"Autonomy and per-preset current: battery emulation into the watch, cross-checked against the AXP2101 E-Gauge",Battery pigtail (requires opening the case; procedure TBD in docs/validation/),90,1000,1,"PPK2: 200 nA–1 A, 100 kS/s, sources 0.8–5 V. Otii Arc Pro: nA–5 A, 24-bit, covers backlight-on peaks comfortably — preferred if budget allows. The watch battery is sealed: the measurement needs a documented pigtail/emulation procedure or the ≥3 h metric is unmeasurable. Disagreement with the AXP2101 coulomb counter is a finding, not a nuisance. Prices (prov.), verify; min = PPK2, max = Otii Arc Pro."
Timing reference (bench),10 MHz GPSDO (e.g. Leo Bodnar mini GPSDO) or ≤1 ppm frequency counter,Bounds sample-rate error (≤200 ppm ≈ 0.35 cent target); sources the reference 1000.000 Hz tone or counts the PDM clock,BNC / 3.5 mm into the signal chain; USB for configuration,120,400,1,"The S3 has no APLL: PCM-rate error = crystal ppm + fractional divider. Every cents-based claim carries this as an additive bias until it is measured; the clock-correction constant is a Phase 1 deliverable. Prices (prov.), verify."
Latency measurement (bench),2-channel oscilloscope + phototransistor/photodiode on the LCD,"Acoustic-to-photon latency (≤80 ms mean, ≤120 ms p99): ch1 = driving signal, ch2 = phototransistor taped to the display; also the external cross-check of the sustained refresh rate",BNC probes; phototransistor + load resistor on a short lead,5,500,1,"min assumes a scope is already on the bench (phototransistor + resistor only); max = an entry-level 4-channel DSO (Rigol DS1054Z / Siglent SDS1104X-E class). Never trust the firmware frame counter alone. Prices (prov.), verify."
"Playback geometry (bench, optional)",Brüel & Kjær 4128-C HATS (mouth per ITU-T P.58) or standalone artificial mouth per ITU-T P.51,Repeatable acoustic reproduction of corpus material at fixed mouth-to-wrist geometry for the factorial matrix (3 distances × 2 arm angles),Analogue in from the measurement interface,0,0,0,"Optional. New list price is five figures — plan on lab access or rental (day rate TBD), not purchase; excluded from TOTAL (qty 0). Fallback: a calibrated reference monitor at a fixed, documented distance, with the geometry stated in every results table (Švec & Granqvist 2018: SPL must be reported with mouth-to-mic distance)."
Spares and tools,"Spare back-cover gasket + screws, matching precision drivers (TBD: confirm head type at teardown), plastic spreader","Recovery: the BOOT button is on the internal PCB and LilyGO's documented recovery requires removing the battery — have the consumables before the first brick, not after",—,10,30,1,"Order before the first custom flash (docs/devenv/brick-runbook.md, last step). Gasket/screw part numbers TBD from teardown (hardware/acoustic-port/ measures the port and gasket in the same teardown). Prices (prov.), verify."
,,,,,,,
TOTAL,,,,975,4805,,"Bench instruments are shared across units and counted once; the HATS row is excluded (qty 0, access/rental). min = one watch + used Class 1 calibrator + UMIK-1 + PPK2 + GPSDO + phototransistor + spares; max = one watch + new 4231 + M23R + Otii Arc Pro + counter + entry DSO + spares. All prices (prov.), model-recalled, to be verified before purchase; the swarm convention — the TOTAL row carries the deviation justification — applies once proposal §3 states a budget target."
